,Happiness,spent_on_MATA,spent_on_Bills,spent_on_TSA,spent_on_EXPA
145,,0.0,,0.0,0.0
146,6.0,150.0,1000.0,850.0,0.0
147,7.0,70.0,350.0,30.0,50.0
148,10.0,250.0,450.0,150.0,250.0
149,9.0,250.0,550.0,950.0,1000.0
150,10.0,250.0,550.0,150.0,250.0
151,9.0,250.0,550.0,90.0,0.0
152,8.0,250.0,750.0,0.0,0.0
153,10.0,650.0,950.0,550.0,750.0
154,7.0,1000.0,950.0,250.0,350.0
155,7.0,50.0,1000.0,650.0,150.0
156,5.0,70.0,150.0,50.0,50.0
157,10.0,550.0,450.0,450.0,550.0
158,9.0,150.0,550.0,150.0,0.0
159,6.0,450.0,950.0,250.0,550.0
160,,0.0,,0.0,0.0
161,7.0,250.0,550.0,0.0,0.0
162,10.0,250.0,150.0,0.0,350.0
163,5.0,70.0,1000.0,0.0,150.0
164,7.0,90.0,70.0,70.0,250.0
165,7.0,70.0,550.0,0.0,0.0
166,6.0,0.0,90.0,0.0,0.0
167,8.0,250.0,550.0,70.0,0.0
168,6.0,30.0,90.0,0.0,0.0
169,9.0,,950.0,1000.0,1000.0
170,8.0,350.0,850.0,0.0,150.0
171,1.0,0.0,50.0,0.0,0.0
172,8.0,850.0,30.0,30.0,30.0
173,6.0,70.0,150.0,0.0,70.0
174,3.0,0.0,950.0,0.0,250.0
175,6.0,250.0,350.0,0.0,250.0
176,3.0,150.0,250.0,0.0,250.0
177,10.0,1000.0,750.0,950.0,1000.0
178,1.0,150.0,50.0,10.0,50.0
179,10.0,70.0,150.0,0.0,50.0
180,8.0,70.0,650.0,30.0,90.0
181,8.0,70.0,550.0,150.0,50.0
182,8.0,90.0,650.0,50.0,0.0
183,10.0,950.0,950.0,850.0,950.0
184,7.0,350.0,250.0,350.0,250.0
185,4.0,50.0,50.0,0.0,30.0
186,10.0,0.0,1000.0,1000.0,0.0
187,3.0,250.0,250.0,0.0,0.0
188,5.0,90.0,350.0,50.0,70.0
189,8.0,250.0,1000.0,0.0,70.0
190,6.0,450.0,650.0,0.0,0.0
191,6.0,50.0,650.0,50.0,50.0
192,9.0,90.0,250.0,150.0,150.0
193,7.0,250.0,350.0,0.0,0.0
194,8.0,0.0,550.0,150.0,0.0
195,7.0,90.0,750.0,150.0,250.0
196,6.0,0.0,1000.0,0.0,0.0
197,5.0,250.0,750.0,0.0,0.0
198,5.0,0.0,550.0,0.0,250.0
199,5.0,0.0,750.0,0.0,0.0
200,,0.0,,0.0,0.0
201,7.0,250.0,550.0,30.0,250.0
202,7.0,250.0,350.0,450.0,450.0
203,8.0,30.0,90.0,0.0,250.0
204,7.0,350.0,150.0,50.0,70.0
205,7.0,250.0,750.0,70.0,350.0
